#Version: 0.11
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo)
#Finalized by: Dr. Hong Cui
#Date: 6/13/2014
#Reviewers: Heather Cole,Dr. Hong Cui,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID","remarks"
"apomictic","reproduction","0","fna_gloss_final_20130517","29722d75-09e1-47b0-9489-390206977bb2","active"
"apopetalous","architecture","0","fna_gloss_final_20130517","9eb17977-c289-41a6-92f4-5cb56ee8b0ea","active"
"aposepalous","architecture","0","fna_gloss_final_20130517","bd8bcbb3-9f44-4170-a31f-384ffd8befd0","active"
"aposporous","reproduction","0","fna_gloss_final_20130517","f71bc24e-901a-40b7-96f1-7cf36cd2216d","active"
"apostemonous","architecture","0","fna_gloss_final_20130517","1c9725bf-fe22-45b0-aa54-94c5d5f66032","active"
"apotropous","orientation","0","fna_gloss_final_20130517","dbaf4805-edea-4d0a-929b-f4a9634d6ed3","active"
"apparent","prominence","0","fna_gloss_final_20130517","a1fd36ec-efdc-11e2-b45f-0026b9326338","active"
"appendage","structure","0","fna_gloss_final_20130517","0d332d85-6eae-4e22-93e6-1eef614b169f","active"
"appendaged","architecture","0","fna_gloss_final_20130517","6302f4cb-aef2-422c-8be7-0e977efb310f","active"
"appressed","orientation","0","fna_gloss_final_20130517","5ad74690-c8b3-4a96-be98-5b1fe1386921","active"
"aquatic","habitat","0","fna_gloss_final_20130517","ee5b05c6-082d-434f-a96b-223b98e24715","active"
"arachnoid","pubescence","0","fna_gloss_final_20130517","c59814a5-c971-4edf-9809-8b1d085cab43","active"
"arachnose","pubescence","0","fna_gloss_final_20130517","9006ba02-aab0-4740-b423-28f9cbd98567","active"
"arboreous","growth_form","0","fna_gloss_final_20130517","aeb9c9ea-2c50-452f-8cf4-2e73d77d3315","active"
"arborescent","growth_form","0","fna_gloss_final_20130517","a281cb6f-5f8a-4a8d-96f1-ce6b3f04b200","active"
"arched","orientation","0","fna_gloss_final_20130517","67169863-5daa-438a-90c3-550934c7599a","active"
"arched","shape","0","fna_gloss_final_20130517","a2f41e76-efdc-11e2-b45f-0026b9326338","active"
"archegonia","structure","0","fna_gloss_final_20130517","5832a87b-3c8b-4f48-bd68-9b7a47343555","active"
"archegonium","structure","0","fna_gloss_final_20130517","45b3550f-f11f-45aa-9225-d7ef764a82da","active"
"arching","orientation","0","fna_gloss_final_20130517","7d510184-b5e5-47d8-823b-2a030f6d5d63","active"
"architecture","character","0","fna_gloss_final_20130517","3f729df9-3378-4dd8-acd0-d09dcaa44cd1","active"
"arcuate","course","0","fna_gloss_final_20130517","6dae4d90-d707-4630-97d9-f0e65a3ffbce","active"
"arcuate","shape","0","fna_gloss_final_20130517","7ced8cf5-887c-431d-b973-ee29fa1a3579","active"
"areola","structure","0","fna_gloss_final_20130517","1d057a6b-858d-488d-9aad-e0783891b55d","active"
"areolae","structure","0","fna_gloss_final_20130517","c8cdaff3-8870-4943-9501-60d6779c1e29","active"
"areolate","relief","0","fna_gloss_final_20130517","01ad0434-8341-4116-9555-73abb91c13fc","active"
"areole","structure","0","fna_gloss_final_20130517","497d4f0a-07ff-4c8e-9bea-dcdfb0d63199","active"
"aril","structure","0","fna_gloss_final_20130517","df9f1b7d-85ae-4b81-995b-917af892635d","active"
"arillate","architecture","0","fna_gloss_final_20130517","e5bdd8e6-82e2-4010-a1b0-104af66d91df","active"
"arilli","structure","0","fna_gloss_final_20130517","a00de34e-9450-4e2a-bbed-9d2cd90ed843","active"
"arillode","structure","0","fna_gloss_final_20130517","2343b950-6cbd-4879-b15d-db6804ace6a0","active"
"arillus","structure","0","fna_gloss_final_20130517","a8b68c3e-3987-4e3b-b776-d180b8d99767","active"
"arising","orientation","0","fna_gloss_final_20130517","054c67b9-054b-47ab-b995-0617855abb0c","active"
"arista","structure","0","fna_gloss_final_20130517","5e6f29b2-6a37-4663-888b-7cb315ef277e","active"
"aristae","structure","0","fna_gloss_final_20130517","399ba59a-deb1-4bc9-b7e5-ed2b89700d5c","active"
"aristate","shape","0","fna_gloss_final_20130517","b607f4d7-dc30-407f-ae9c-4c4ed8511532","active"
"armed","architecture","0","fna_gloss_final_20130517","c64da7f3-4b2e-47da-a631-51fe6e678ab6","active"
"aromatic","odor","0","fna_gloss_final_20130517","d467aa8d-177e-49f9-9618-99ff3efcb9e7","active"
"arranged","arrangement","0","fna_gloss_final_20130517","a1fe6cec-efdc-11e2-b45f-0026b9326338","active"
"arrangement","character","0","fna_gloss_final_20130517","bacbd7d2-d2e9-4dab-862d-0711fd660964","active"
"arrayed","arrangement","0","fna_gloss_final_20130517","a1fe8bfa-efdc-11e2-b45f-0026b9326338","active"
"arrowhead_shaped","shape","0","fna_gloss_final_20130517","673b49a2-a5fa-4609-a4ba-7f29286f6308","active"
"articulate","architecture","0","fna_gloss_final_20130517","e6d0e8ad-a537-439e-9db8-2fe82f6fd0c8","active"
"articulated","architecture","0","fna_gloss_final_20130517","67a940e4-d85e-42c7-ba41-0f7da34bc28c","active"
"articulation","structure","0","fna_gloss_final_20130517","987561a3-8f49-489f-aaed-8010381bc60d","active"
"ascending","orientation","0","fna_gloss_final_20130517","c64943a6-a190-40a9-81c7-428b18f77414","active"
"ascidia","structure","0","fna_gloss_final_20130517","06544712-db97-4208-b188-c4b756a53c72","active"
"ascidiate","architecture","0","fna_gloss_final_20130517","41adcec9-ec7c-42a6-bbf0-e4067efc78f9","active"
"ascidiform","shape","0","fna_gloss_final_20130517","02a721ce-933f-4676-bb0c-a46395439fd0","active"
"ascidium","structure","0","fna_gloss_final_20130517","a97f1513-7684-49d4-92f5-934d1c8b3e1c","active"
"asepalous","architecture","0","fna_gloss_final_20130517","a2bde9f9-f4d5-48c6-a462-93f847b1e071","active"
"aseptate","architecture","0","fna_gloss_final_20130517","3de8b75f-abf2-4b9c-b781-e2bd13b3b71d","active"
"asexual","reproduction","0","fna_gloss_final_20130517","95f1592b-b8f0-41eb-bec1-b797d0530b80","active"
"ashy","coloration","0","fna_gloss_final_20130517","a1ff3398-efdc-11e2-b45f-0026b9326338","active"
"ashy","taste","0","fna_gloss_final_20130517","a2f1af2e-efdc-11e2-b45f-0026b9326338","active"
"assurgent","orientation","0","fna_gloss_final_20130517","ee64afe0-b62e-48a6-883a-86020e6aae02","active"
"astomatiferous","architecture","0","fna_gloss_final_20130517","3fc73a0e-8894-41ee-bb68-660e58dc225e","active"
"asymmetric","architecture","0","fna_gloss_final_20130517","3a2536b7-f9db-4d68-bb02-17328eb8e747","active"
"asymmetric","shape","0","fna_gloss_final_20130517","fab21746-9651-4dac-89cc-e4ada278dde7","active"
"asymmetrical","architecture","0","fna_gloss_final_20130517","8271aef6-8610-46a5-8eb2-2fda8ea3e577","active"
"asymmetrical","shape","0","fna_gloss_final_20130517","d1327208-a924-4894-a497-77abb0431b97","active"
"atropous","orientation","0","fna_gloss_final_20130517","a913faa0-5ff4-4cfb-9c64-fd0e3a0260ac","active"
"attached","fixation","0","fna_gloss_final_20130517","42c75261-0e32-425c-97b3-0d0f45385933","active"
"attentuate","shape","0","fna_gloss_final_20130517","bf16e189-fbdc-49bb-964d-b43ffc0181c5","active"
"attenuate","shape","0","fna_gloss_final_20130517","ff781b74-3d05-48a2-be1b-e84b2c90e1ad","active"
"auricle","structure","0","fna_gloss_final_20130517","8df20dc2-22bf-45e2-b3a5-3af5766e4c37","active"
