#Version: 0.1
#Glossary type: Hymenoptera
#Source: ant_gloss_20130517080844
#Finalized by: Hong Cui
#Date: 9/20/2013
#Reviewers: Hong Cui,Sonali Ranade
#Source producer: OTO System

term,category,synonym,termID
leg,structure,legs,149b915c-21de-11e3-a402-0026b9326338
lengthened,length,lengthening,149b921a-21de-11e3-a402-0026b9326338
lighter_colored,reflectance,lighting,149b92e2-21de-11e3-a402-0026b9326338
line,structure,lines,149b93aa-21de-11e3-a402-0026b9326338
lip,structure,lips,149b9468-21de-11e3-a402-0026b9326338
lobate,shape,lobose,149b95f8-21de-11e3-a402-0026b9326338
lobate,shape,lobiform,149b95f8-21de-11e3-a402-0026b9326338
lobate,shape,lobelike,149b95f8-21de-11e3-a402-0026b9326338
lobate,shape,lobed,149b95f8-21de-11e3-a402-0026b9326338
lobate,shape,lobular,149b95f8-21de-11e3-a402-0026b9326338
local,position,localized,149b96b6-21de-11e3-a402-0026b9326338
lodge,presence,lodged,149b9774-21de-11e3-a402-0026b9326338
long,length,longer,149b9846-21de-11e3-a402-0026b9326338
long,length,longest,149b9846-21de-11e3-a402-0026b9326338
long,length,longish,149b9846-21de-11e3-a402-0026b9326338
loose,density,losing,149b9904-21de-11e3-a402-0026b9326338
loss,presence,lost,149b99cc-21de-11e3-a402-0026b9326338
low,position,lower,149b9a8a-21de-11e3-a402-0026b9326338
lower,derivation,lowest,149b9b52-21de-11e3-a402-0026b9326338
mandible,structure,mandibles,149b9c38-21de-11e3-a402-0026b9326338
marginal,position,margined,149b9cf6-21de-11e3-a402-0026b9326338
marginal,position,marginated,149b9cf6-21de-11e3-a402-0026b9326338
marginal,position,marginate,149b9cf6-21de-11e3-a402-0026b9326338
marginal,position,marginatcd,149b9cf6-21de-11e3-a402-0026b9326338
marroon,coloration,maroon_brown,149b9dbe-21de-11e3-a402-0026b9326338
mat,surface_sculpture,matt,149b9e86-21de-11e3-a402-0026b9326338
mat,surface_sculpture,matte,149b9e86-21de-11e3-a402-0026b9326338
mat,surface_sculpture,matted,149b9e86-21de-11e3-a402-0026b9326338
maxilla,structure,maxillae,149b9f4e-21de-11e3-a402-0026b9326338
medium_sized,size,mediumsized,149ba016-21de-11e3-a402-0026b9326338
membrane,structure,membranes,149ba0de-21de-11e3-a402-0026b9326338
merge,fusion,merging,149ba19c-21de-11e3-a402-0026b9326338
mesopleura,structure,mesopleuron,149ba264-21de-11e3-a402-0026b9326338
metapleura,structure,metapleurae,149ba32c-21de-11e3-a402-0026b9326338
metapleura,structure,metapleuron,149ba32c-21de-11e3-a402-0026b9326338
metepisterna,structure,metepisternum,149ba4bc-21de-11e3-a402-0026b9326338
mid,position,middle,149ba642-21de-11e3-a402-0026b9326338
milky,coloration,milkywhite,149ba70a-21de-11e3-a402-0026b9326338
multidentate,architecture,multidenticulate,149ba7d2-21de-11e3-a402-0026b9326338
narrow,width,narrowest,149ba890-21de-11e3-a402-0026b9326338
narrowed,size,narrower,149ba94e-21de-11e3-a402-0026b9326338
narrowed,size,narrowing,149ba94e-21de-11e3-a402-0026b9326338
narrowed,size,narrows,149ba94e-21de-11e3-a402-0026b9326338
nearby,position,nearest,149baa16-21de-11e3-a402-0026b9326338
nearby,position,nearer,149baa16-21de-11e3-a402-0026b9326338
needle_like,shape,needle_shaped,149baade-21de-11e3-a402-0026b9326338
nigro_piceous,coloration,nigropiceous,149baba6-21de-11e3-a402-0026b9326338
node,structure,nodes,149bac6e-21de-11e3-a402-0026b9326338
nodiform,shape,nodular,149bad2c-21de-11e3-a402-0026b9326338
nodiform,shape,nodose,149bad2c-21de-11e3-a402-0026b9326338
nostril,structure,nostrils,149badf4-21de-11e3-a402-0026b9326338
notauli,structure,notaulices,149baebc-21de-11e3-a402-0026b9326338
notauli,structure,notaulus,149baebc-21de-11e3-a402-0026b9326338
oblong_ovate,shape,oblongovate,149baf7a-21de-11e3-a402-0026b9326338
oblong_quadrate,shape,oblongquadrate,149bb042-21de-11e3-a402-0026b9326338
obtuse_angled,shape,obtuse,149bb10a-21de-11e3-a402-0026b9326338
obtuse_angled,shape,obtuse_angulate,149bb10a-21de-11e3-a402-0026b9326338
ocelli,structure,ocellus,149bb1d2-21de-11e3-a402-0026b9326338
ochra,coloration,ochraceous,149bb470-21de-11e3-a402-0026b9326338
ochra,coloration,ochre,149bb470-21de-11e3-a402-0026b9326338
old,age,older,149bb542-21de-11e3-a402-0026b9326338
olivaceous,coloration,olive,149bb60a-21de-11e3-a402-0026b9326338
olive_brown,coloration,olivebrown,149bb6d2-21de-11e3-a402-0026b9326338
one_eighth,ratio,oneeighth,149bb7a4-21de-11e3-a402-0026b9326338
one_half,ratio,onehalf,149bb862-21de-11e3-a402-0026b9326338
opaque,coloration,opake,149bb92a-21de-11e3-a402-0026b9326338
opaque_black,coloration,opake_black,149bb9f2-21de-11e3-a402-0026b9326338
orange,coloration,orangish,149bbaba-21de-11e3-a402-0026b9326338
orange_brown,coloration,orangebrown,149bbb82-21de-11e3-a402-0026b9326338
orbicular,shape,orbiculate,149bbc4a-21de-11e3-a402-0026b9326338
orbit,structure,orbits,149bbd12-21de-11e3-a402-0026b9326338
outer,position,outside,149bbdda-21de-11e3-a402-0026b9326338
outer,position,outmost,149bbdda-21de-11e3-a402-0026b9326338
outer,position,outlier,149bbdda-21de-11e3-a402-0026b9326338
outer,position,outermost,149bbdda-21de-11e3-a402-0026b9326338
oval,shape,ovate,149bbea2-21de-11e3-a402-0026b9326338
oval,shape,ovoid,149bbea2-21de-11e3-a402-0026b9326338
overarched,shape,overarching,149bbf60-21de-11e3-a402-0026b9326338
overhang,size,overhung,149bc028-21de-11e3-a402-0026b9326338
overhang,size,overhangs,149bc028-21de-11e3-a402-0026b9326338
overlap,arrangement,overlapping,149bc0f0-21de-11e3-a402-0026b9326338
overlay,presence,overlaying,149bc1b8-21de-11e3-a402-0026b9326338
overlay,presence,overlying,149bc1b8-21de-11e3-a402-0026b9326338
pair,structure,pairs,149bc280-21de-11e3-a402-0026b9326338
pale,coloration,pallid,149bc33e-21de-11e3-a402-0026b9326338
pale,coloration,palest,149bc33e-21de-11e3-a402-0026b9326338
pale,coloration,paler,149bc33e-21de-11e3-a402-0026b9326338
pale_yellow,coloration,pale_yellowish,149bc406-21de-11e3-a402-0026b9326338
palp,structure,palpus,149bc4ce-21de-11e3-a402-0026b9326338
palp,structure,palpi,149bc4ce-21de-11e3-a402-0026b9326338
part,structure,parts,149bc596-21de-11e3-a402-0026b9326338
patch,structure,patches,149bc654-21de-11e3-a402-0026b9326338
pigment,coloration,pigmented,149bc71c-21de-11e3-a402-0026b9326338
pit,structure,pits,149bc7e4-21de-11e3-a402-0026b9326338
plain,surface_sculpture,planar,149bc8ac-21de-11e3-a402-0026b9326338
portion,structure,portions,149bc974-21de-11e3-a402-0026b9326338
posteriolateral,position,posterolateral,149bca3c-21de-11e3-a402-0026b9326338
posteriolateral,position,posterolaterad,149bca3c-21de-11e3-a402-0026b9326338
posteriolateral,position,postero_lateral,149bca3c-21de-11e3-a402-0026b9326338
posteriolateral,position,posterior_laterad,149bca3c-21de-11e3-a402-0026b9326338
posterior,position,postrior,149bcb04-21de-11e3-a402-0026b9326338
posterior,position,posteriormost,149bcb04-21de-11e3-a402-0026b9326338
posterior,position,posteri,149bcb04-21de-11e3-a402-0026b9326338
postero_dorsal,position,posteriodorsal,149bcbcc-21de-11e3-a402-0026b9326338
postero_dorsal,position,posterodorsal,149bcbcc-21de-11e3-a402-0026b9326338
posteromedial,position,posteromedian,149bcc94-21de-11e3-a402-0026b9326338
pre_anal,position,preanal,149bcd52-21de-11e3-a402-0026b9326338
premaxilla,structure,premaxillae,149bcee2-21de-11e3-a402-0026b9326338
process,structure,processes,149bd068-21de-11e3-a402-0026b9326338
procoxa,structure,procoxae,149bd13a-21de-11e3-a402-0026b9326338
progress,development,progressive,149bd1f8-21de-11e3-a402-0026b9326338
pubecence,surface_sculpture,pubescent,149bd388-21de-11e3-a402-0026b9326338
pubecence,surface_sculpture,pubesence,149bd388-21de-11e3-a402-0026b9326338
punctate,surface_sculpture,punctulate,149bd450-21de-11e3-a402-0026b9326338
punctate,surface_sculpture,punctuate,149bd450-21de-11e3-a402-0026b9326338
punctate,surface_sculpture,punctated,149bd450-21de-11e3-a402-0026b9326338
punctate_rugulose,surface_sculpture,punctatorugose,149bd518-21de-11e3-a402-0026b9326338
punctate_rugulose,surface_sculpture,punctuate_rugulose,149bd518-21de-11e3-a402-0026b9326338
punctate_striate,surface_sculpture,punctatestriolate,149bd5e0-21de-11e3-a402-0026b9326338
punctate_striate,surface_sculpture,puncto_striate,149bd5e0-21de-11e3-a402-0026b9326338
punctuation,structure,punctulation,149bd6a8-21de-11e3-a402-0026b9326338
punctures,structure,puncturation,149bd770-21de-11e3-a402-0026b9326338
purple,coloration,purplish,149bd838-21de-11e3-a402-0026b9326338
quadrate,shape,quadrata,149bd900-21de-11e3-a402-0026b9326338
radial,arrangement,radiating,149bd9be-21de-11e3-a402-0026b9326338
radial,arrangement,radiate,149bd9be-21de-11e3-a402-0026b9326338
radial,arrangement,radially_arranged,149bd9be-21de-11e3-a402-0026b9326338
ray,structure,rays,149bda86-21de-11e3-a402-0026b9326338
rear,position,rearward,149bdb4e-21de-11e3-a402-0026b9326338
red,coloration,reddish,149bdc16-21de-11e3-a402-0026b9326338
red_brown,coloration,reddishbrown,149bdcd4-21de-11e3-a402-0026b9326338
red_brown,coloration,reddish_brown,149bdcd4-21de-11e3-a402-0026b9326338
red_brown,coloration,redbrown,149bdcd4-21de-11e3-a402-0026b9326338
reddish_yellow,coloration,reddishyellow,149be300-21de-11e3-a402-0026b9326338
reflect,reflectance,reflective,149be3d2-21de-11e3-a402-0026b9326338
region,structure,regions,149be49a-21de-11e3-a402-0026b9326338
resembles,comparison,resembling,149be62a-21de-11e3-a402-0026b9326338
reticular,surface_sculpture,reticulate,149be6f2-21de-11e3-a402-0026b9326338
reticular,surface_sculpture,reticulated,149be6f2-21de-11e3-a402-0026b9326338
reticular,surface_sculpture,reticulose,149be6f2-21de-11e3-a402-0026b9326338
reticulate_puncate,surface_sculpture,reticulatepunctate,149be7c4-21de-11e3-a402-0026b9326338
reticulate_puncate,surface_sculpture,reticulopunctate,149be7c4-21de-11e3-a402-0026b9326338
