#Version: 0.1
#Glossary type: Algea
#Source: diatom_test_2012_12_19
#Finalized by: Dr. Hong Cui
#Date: 
#Reviewers: treatise  ,Dr. Hong Cui,Sonali Ranade,Anna Yu
#Source producer: Anna Yu

"term","category","hasSyn","sourceDataset","termID"
"uncleaned","coloration","0","diatom_test_2012_12_19","ca5a17b4-11be-11e3-b45f-0026b9326338"
"density","density","0","diatom_test_2012_12_19","ca5a187c-11be-11e3-b45f-0026b9326338"
"coarse","external texture","0","diatom_test_2012_12_19","ca5a193a-11be-11e3-b45f-0026b9326338"
"punctate","pattern","0","diatom_test_2012_12_19","ca5a1a02-11be-11e3-b45f-0026b9326338"
"curve","shape","0","diatom_test_2012_12_19","ca5a1ac0-11be-11e3-b45f-0026b9326338"
"curved","shape","0","diatom_test_2012_12_19","ca5a1b88-11be-11e3-b45f-0026b9326338"
"puncta_like","shape","0","diatom_test_2012_12_19","ca5a1c46-11be-11e3-b45f-0026b9326338"
"fine","size","0","diatom_test_2012_12_19","ca5a1d0e-11be-11e3-b45f-0026b9326338"
"un_branched","architecture","0","diatom_test_2012_12_19","ca5a1dd6-11be-11e3-b45f-0026b9326338"
"solid","density","0","diatom_test_2012_12_19","ca5a1e94-11be-11e3-b45f-0026b9326338"
"straight","course","0","diatom_test_2012_12_19","ca5a1f5c-11be-11e3-b45f-0026b9326338"
"flap_like","shape","0","diatom_test_2012_12_19","ca5a2024-11be-11e3-b45f-0026b9326338"
"flattened","shape","0","diatom_test_2012_12_19","ca5a20e2-11be-11e3-b45f-0026b9326338"
"noduliform","shape","0","diatom_test_2012_12_19","ca5a21aa-11be-11e3-b45f-0026b9326338"
"tube_like","shape","0","diatom_test_2012_12_19","ca5a2272-11be-11e3-b45f-0026b9326338"
"tubular","shape","0","diatom_test_2012_12_19","ca5a2330-11be-11e3-b45f-0026b9326338"
"tubular_like","shape","0","diatom_test_2012_12_19","ca5a23f8-11be-11e3-b45f-0026b9326338"
"enlarged","size","0","diatom_test_2012_12_19","ca5a24b6-11be-11e3-b45f-0026b9326338"
"wider","width","0","diatom_test_2012_12_19","ca5a257e-11be-11e3-b45f-0026b9326338"
"wide","width","0","diatom_test_2012_12_19","ca5a2646-11be-11e3-b45f-0026b9326338"
"buttressesd","architecture","0","diatom_test_2012_12_19","ca5a2704-11be-11e3-b45f-0026b9326338"
"encircled","architecture","0","diatom_test_2012_12_19","ca5a27cc-11be-11e3-b45f-0026b9326338"
"heterotopic","position","0","diatom_test_2012_12_19","ca5a288a-11be-11e3-b45f-0026b9326338"
"high","position","0","diatom_test_2012_12_19","ca5a295c-11be-11e3-b45f-0026b9326338"
"isotopic","position","0","diatom_test_2012_12_19","ca5a2a1a-11be-11e3-b45f-0026b9326338"
"half_moon","shape","0","diatom_test_2012_12_19","ca5a2ad8-11be-11e3-b45f-0026b9326338"
"different","variability","0","diatom_test_2012_12_19","ca5a2ba0-11be-11e3-b45f-0026b9326338"
"silicious","architecture","0","diatom_test_2012_12_19","ca5a2c68-11be-11e3-b45f-0026b9326338"
"smooth","external texture","0","diatom_test_2012_12_19","ca5a2d26-11be-11e3-b45f-0026b9326338"
"striate","pattern","0","diatom_test_2012_12_19","ca5a2dee-11be-11e3-b45f-0026b9326338"
"stellate","pattern","0","diatom_test_2012_12_19","ca5a2eb6-11be-11e3-b45f-0026b9326338"
"off_centre","position","0","diatom_test_2012_12_19","ca5a2f7e-11be-11e3-b45f-0026b9326338"
"sleeve_like","shape","0","diatom_test_2012_12_19","ca5a3046-11be-11e3-b45f-0026b9326338"
"collapse","behaviour","0","diatom_test_2012_12_19","ca5a3104-11be-11e3-b45f-0026b9326338"
"cleaned","coloration","0","diatom_test_2012_12_19","ca5a31c2-11be-11e3-b45f-0026b9326338"
"complete","condition","0","diatom_test_2012_12_19","ca5a3294-11be-11e3-b45f-0026b9326338"
"thick_walled","architecture","0","diatom_test_2012_12_19","ca5a3352-11be-11e3-b45f-0026b9326338"
"rugose","external texture","0","diatom_test_2012_12_19","ca5a341a-11be-11e3-b45f-0026b9326338"
"ill_defined","prominence","0","diatom_test_2012_12_19","ca5a34d8-11be-11e3-b45f-0026b9326338"
"elliptical","shape","0","diatom_test_2012_12_19","ca5a35a0-11be-11e3-b45f-0026b9326338"
"wavy","shape","0","diatom_test_2012_12_19","ca5a3668-11be-11e3-b45f-0026b9326338"
"siliceous","architecture","0","diatom_test_2012_12_19","ca5a3726-11be-11e3-b45f-0026b9326338"
"silicified","architecture","0","diatom_test_2012_12_19","ca5a37ee-11be-11e3-b45f-0026b9326338"
"ridged","pattern","0","diatom_test_2012_12_19","ca5a38b6-11be-11e3-b45f-0026b9326338"
"reduced","prominence","0","diatom_test_2012_12_19","ca5a3974-11be-11e3-b45f-0026b9326338"
"concentric","shape","0","diatom_test_2012_12_19","ca5a3a3c-11be-11e3-b45f-0026b9326338"
"pustuliform","shape","0","diatom_test_2012_12_19","ca5a3b36-11be-11e3-b45f-0026b9326338"
"polygonal","shape","0","diatom_test_2012_12_19","ca5a3c08-11be-11e3-b45f-0026b9326338"
"papilla_like","shape","0","diatom_test_2012_12_19","ca5a3cd0-11be-11e3-b45f-0026b9326338"
"tangential","orientation","0","diatom_test_2012_12_19","ca5a3d98-11be-11e3-b45f-0026b9326338"
